flow_id,role,module,title,entry,preconditions,steps_summary,assertions,refs,phase,is_completed
E2E-UF-001,终端用户,反馈收集,提交反馈（基础字段+类型+优先级）,Widget/Portal,项目已创建且嵌入入口可用,"打开表单->填标题/描述/类型/优先级->提交->获得跟踪链接","提交成功提示；生成可访问跟踪链接；新反馈可在列表/详情看到","FR1;FR2;FR3;FR5;FR30-FR32",Phase1(MVP),true
E2E-UF-002,终端用户,反馈收集,提交反馈（带附件上传）,Widget/Portal,同E2E-UF-001,"提交时上传附件->提交成功","附件上传成功；详情页可看到/下载附件","FR1;FR4",Phase1(MVP),true
E2E-UF-003,终端用户,反馈查看,使用跟踪链接查看反馈详情,跟踪链接,已存在公开反馈,"访问跟踪链接->查看标题/描述/状态/附件","详情页可访问；状态展示与后台一致","FR5;FR14",Phase1(MVP),true
E2E-UF-004,终端用户,投票,对反馈投票,Portal反馈详情页,存在可投票公开反馈,"打开详情->点击投票","投票数变化或投票状态变化","FR15",Phase1(MVP),true
E2E-UF-005,客服,反馈收集,代客户提交反馈（代表客户提交）,后台提交入口,客服账号已登录且有代提交权限,"登录->填写反馈->勾选代提交->提交->生成反馈链接","创建成功；带代提交标记/来源信息；可复制链接","FR6;FR23;FR29",Phase1(MVP),true
E2E-UF-006,产品团队,认证,登录系统（团队成员）,登录页,存在有效用户,"打开登录页->输入凭据->登录->进入后台","进入受保护页面成功","FR23",Phase1(MVP),true
E2E-UF-007,产品经理/管理员,反馈管理,查看反馈列表（默认加载）,后台反馈列表页,已登录且存在反馈数据,"进入列表页->加载列表","列表加载成功；关键字段可见","FR7",Phase1(MVP),true
E2E-UF-008,产品经理/管理员,反馈管理,列表筛选：按状态筛选,后台反馈列表页,存在多状态反馈,"选择状态筛选->列表刷新","列表项均符合筛选状态","FR8",Phase1(MVP),true
E2E-UF-009,产品经理/管理员,反馈管理,列表排序：按投票数/按时间排序,后台反馈列表页,存在投票数和时间差异数据,"选择按投票排序->切换按时间排序","排序结果符合预期","FR9;FR10",Phase1(MVP),true
E2E-UF-010,产品经理/管理员,反馈管理,查看反馈详情（后台）,后台反馈列表/详情页,已登录且存在反馈,"从列表进入详情->查看完整信息","详情字段展示完整","FR11",Phase1(MVP),true
E2E-UF-011,产品经理/管理员,反馈管理,修改反馈状态,后台反馈详情页,已登录且对目标反馈有权限,"打开详情->修改状态->保存","状态更新后列表/详情同步","FR12",Phase1(MVP),true
E2E-UF-012,产品经理,反馈管理,编辑反馈标题与描述,后台反馈详情页,产品经理登录,"编辑标题/描述->保存->刷新","内容持久化","FR17",Phase1(MVP),true
E2E-UF-013,产品经理/管理员,反馈管理,删除反馈,后台反馈详情/列表页,有可删除反馈,"触发删除->二次确认","列表移除；详情不可访问/404","FR13",Phase1(MVP),true
E2E-UF-014,产品经理,协作与沟通,添加内部备注,后台反馈详情页,产品经理登录,"添加备注->保存","备注可见且持久化","FR16",Phase1(MVP),true
